sub	RT	correct	category	condition	conditionName	repeatDist	targetItem	conditionCheck	categoryNum	phase	test
1	4341	1	Animals	2	mixed	0	20.jpg	2	1	ThreeItems	3
1	1359	1	Objects	2	mixed	0	19.jpg	2	2	ThreeItems	3
1	1473	1	Objects	1	uniform	0	22.jpg	1	2	ThreeItems	3
1	1623	1	Objects	1	uniform	0	6.jpg	1	2	ThreeItems	3
1	1780	1	Animals	1	uniform	0	21.jpg	1	1	ThreeItems	3
1	1438	1	Animals	2	mixed	0	12.jpg	2	1	ThreeItems	3
1	1214	1	Objects	2	mixed	0	4.jpg	2	2	ThreeItems	3
1	1121	1	Objects	2	mixed	0	18.jpg	2	2	ThreeItems	3
1	1005	1	Animals	1	uniform	0	13.jpg	1	1	ThreeItems	3
1	1163	1	Objects	1	uniform	0	19.jpg	1	2	ThreeItems	3
1	977	1	Animals	2	mixed	0	18.jpg	2	1	FourItems	4
1	1253	1	Objects	2	mixed	0	22.jpg	2	2	FourItems	4
1	1413	1	Objects	1	uniform	0	21.jpg	1	2	FourItems	4
1	1219	1	Animals	2	mixed	0	6.jpg	2	1	FourItems	4
1	1930	1	Animals	1	uniform	0	1.jpg	1	1	FourItems	4
1	1364	1	Animals	2	mixed	0	24.jpg	2	1	SixItems	6
1	3205	1	Objects	1	uniform	0	23.jpg	1	2	SixItems	6
1	1436	1	Objects	2	mixed	0	9.jpg	2	2	SixItems	6
1	1902	1	Animals	1	uniform	0	2.jpg	1	1	SixItems	6
1	1246	1	Animals	1	uniform	0	8.jpg	1	1	SixItems	6
1	2484	1	Objects	1	uniform	0	1.jpg	1	2	SixItems	6
1	2659	1	Objects	2	mixed	0	16.jpg	2	2	SixItems	6
1	2563	1	Animals	2	mixed	0	3.jpg	2	1	SixItems	6
1	1973	1	Animals	1	uniform	0	15.jpg	1	1	SixItems	6
1	1465	1	Animals	2	mixed	0	19.jpg	2	1	SixItems	6
1	1789	1	Objects	2	mixed	0	15.jpg	2	2	SixItems	6
1	1396	1	Objects	1	uniform	0	3.jpg	1	2	SixItems	6
1	1392	1	Objects	1	uniform	0	24.jpg	1	2	SixItems	6
1	2924	1	Animals	1	uniform	0	23.jpg	1	1	SixItems	6
1	4190	1	Objects	2	mixed	0	5.jpg	2	2	SixItems	6
1	1507	1	Animals	2	mixed	0	7.jpg	2	1	SixItems	6
1	1313	1	Objects	1	uniform	0	8.jpg	1	2	SixItems	6
1	1188	1	Animals	2	mixed	0	4.jpg	2	1	SixItems	6
1	1005	1	Objects	2	mixed	0	3.jpg	2	2	SixItems	6
1	1746	1	Animals	1	uniform	0	4.jpg	1	1	SixItems	6
1	1563	1	Objects	1	uniform	0	20.jpg	1	2	SixItems	6
1	1925	1	Animals	2	mixed	0	5.jpg	2	1	SixItems	6
1	2932	1	Animals	1	uniform	0	9.jpg	1	1	SixItems	6
1	3162	0	Objects	2	mixed	0	1.jpg	2	2	SixItems	6
1	1494	1	Animals	1	uniform	0	16.jpg	1	1	SixItems	6
1	2383	1	Objects	1	uniform	0	14.jpg	1	2	SixItems	6
1	1817	1	Objects	2	mixed	0	8.jpg	2	2	SixItems	6
1	2468	1	Animals	2	mixed	0	14.jpg	2	1	SixItems	6
1	1560	1	Objects	2	mixed	0	10.jpg	2	2	SixItems	6
1	937	1	Animals	2	mixed	0	8.jpg	2	1	SixItems	6
1	3073	1	Objects	1	uniform	0	11.jpg	1	2	SixItems	6
1	2682	1	Animals	1	uniform	0	3.jpg	1	1	SixItems	6
1	1594	1	Animals	1	uniform	0	20.jpg	1	1	SixItems	6
1	2606	1	Objects	2	mixed	0	12.jpg	2	2	SixItems	6
1	1178	1	Animals	2	mixed	0	23.jpg	2	1	SixItems	6
1	3172	1	Objects	1	uniform	0	2.jpg	1	2	SixItems	6
1	3133	1	Objects	2	mixed	0	7.jpg	2	2	SixItems	6
1	1036	1	Animals	2	mixed	0	16.jpg	2	1	SixItems	6
1	1624	0	Animals	1	uniform	0	17.jpg	1	1	SixItems	6
1	1148	1	Objects	1	uniform	0	5.jpg	1	2	SixItems	6
1	5146	0	Objects	2	mixed	0	20.jpg	2	2	SixItems	6
1	3086	1	Objects	1	uniform	0	12.jpg	1	2	SixItems	6
1	1503	1	Animals	2	mixed	0	17.jpg	2	1	SixItems	6
1	2827	1	Animals	1	uniform	0	6.jpg	1	1	SixItems	6
1	1969	1	Objects	2	mixed	0	11.jpg	2	2	SixItems	6
1	5604	0	Objects	1	uniform	0	17.jpg	1	2	SixItems	6
1	2036	1	Animals	2	mixed	0	1.jpg	2	1	SixItems	6
1	1201	1	Animals	1	uniform	0	24.jpg	1	1	SixItems	6
1	1426	0	Objects	2	mixed	0	2.jpg	2	2	SixItems	6
1	1633	1	Objects	1	uniform	0	13.jpg	1	2	SixItems	6
1	18056	0	Animals	2	mixed	0	9.jpg	2	1	SixItems	6
1	2581	1	Animals	1	uniform	0	10.jpg	1	1	SixItems	6
1	6526	1	Animals	2	mixed	0	15.jpg	2	1	SixItems	6
1	1037	1	Objects	1	uniform	0	18.jpg	1	2	SixItems	6
1	1235	1	Objects	2	mixed	0	17.jpg	2	2	SixItems	6
1	2346	1	Animals	1	uniform	0	22.jpg	1	1	SixItems	6
1	2513	1	Animals	1	uniform	0	12.jpg	1	1	SixItems	6
1	2654	1	Animals	2	mixed	0	11.jpg	2	1	SixItems	6
1	1678	1	Objects	2	mixed	0	23.jpg	2	2	SixItems	6
1	7196	1	Objects	1	uniform	0	16.jpg	1	2	SixItems	6
1	1286	1	Objects	2	mixed	0	24.jpg	2	2	SixItems	6
1	2158	1	Animals	2	mixed	0	10.jpg	2	1	SixItems	6
1	4541	1	Animals	1	uniform	0	5.jpg	1	1	SixItems	6
1	317	1	Objects	1	uniform	0	10.jpg	1	2	SixItems	6
1	2519	0	Animals	2	mixed	0	21.jpg	2	1	SixItems	6
1	1280	1	Animals	1	uniform	0	11.jpg	1	1	SixItems	6
2	1921	1	Objects	2	mixed	0	2.jpg	2	2	ThreeItems	3
2	2536	0	Animals	1	uniform	0	8.jpg	1	1	ThreeItems	3
2	1587	0	Objects	1	uniform	0	22.jpg	1	2	ThreeItems	3
2	1441	1	Animals	1	uniform	0	21.jpg	1	1	ThreeItems	3
2	1423	1	Objects	1	uniform	0	8.jpg	1	2	ThreeItems	3
2	1393	1	Animals	2	mixed	0	7.jpg	2	1	ThreeItems	3
2	1039	1	Objects	2	mixed	0	3.jpg	2	2	ThreeItems	3
2	1022	1	Animals	2	mixed	0	8.jpg	2	1	ThreeItems	3
2	1228	1	Animals	1	uniform	0	23.jpg	1	1	ThreeItems	3
2	1313	0	Objects	1	uniform	0	2.jpg	1	2	ThreeItems	3
2	1088	1	Objects	2	mixed	0	7.jpg	2	2	ThreeItems	3
2	887	1	Animals	1	uniform	0	24.jpg	1	1	ThreeItems	3
2	1306	0	Objects	2	mixed	0	15.jpg	2	2	ThreeItems	3
2	1087	0	Animals	2	mixed	0	2.jpg	2	1	ThreeItems	3
2	1532	0	Objects	1	uniform	0	17.jpg	1	2	ThreeItems	3
2	998	0	Objects	1	uniform	0	6.jpg	1	2	ThreeItems	3
2	1883	0	Animals	2	mixed	0	12.jpg	2	1	ThreeItems	3
2	2051	0	Animals	1	uniform	0	15.jpg	1	1	ThreeItems	3
2	1337	1	Objects	2	mixed	0	5.jpg	2	2	ThreeItems	3
2	3098	1	Objects	2	mixed	0	1.jpg	2	2	FourItems	4
2	6970	1	Animals	2	mixed	0	16.jpg	2	1	FourItems	4
2	1510	0	Objects	1	uniform	0	18.jpg	1	2	FourItems	4
2	1254	0	Animals	1	uniform	0	20.jpg	1	1	FourItems	4
2	1551	0	Objects	1	uniform	0	15.jpg	1	2	FourItems	4
2	1328	0	Objects	2	mixed	0	20.jpg	2	2	FourItems	4
2	906	1	Animals	1	uniform	0	7.jpg	1	1	FourItems	4
2	1598	1	Animals	2	mixed	0	11.jpg	2	1	FourItems	4
2	1659	1	Animals	1	uniform	0	14.jpg	1	1	FourItems	4
2	2682	0	Animals	2	mixed	0	18.jpg	2	1	SixItems	6
2	1591	1	Objects	2	mixed	0	8.jpg	2	2	SixItems	6
2	1289	1	Objects	1	uniform	0	14.jpg	1	2	SixItems	6
2	1253	1	Animals	2	mixed	0	13.jpg	2	1	SixItems	6
2	1543	1	Objects	1	uniform	0	4.jpg	1	2	SixItems	6
2	988	1	Objects	2	mixed	0	17.jpg	2	2	SixItems	6
2	2183	1	Animals	1	uniform	0	2.jpg	1	1	SixItems	6
2	1844	1	Objects	2	mixed	0	6.jpg	2	2	SixItems	6
2	2156	1	Animals	2	mixed	0	1.jpg	2	1	SixItems	6
2	1387	1	Objects	1	uniform	0	1.jpg	1	2	SixItems	6
2	2894	1	Animals	1	uniform	0	19.jpg	1	1	SixItems	6
2	1271	1	Objects	2	mixed	0	24.jpg	2	2	SixItems	6
2	1851	1	Animals	1	uniform	0	13.jpg	1	1	SixItems	6
2	1541	0	Animals	2	mixed	0	6.jpg	2	1	SixItems	6
2	3126	0	Objects	1	uniform	0	20.jpg	1	2	SixItems	6
2	1122	0	Objects	2	mixed	0	16.jpg	2	2	SixItems	6
2	921	1	Objects	1	uniform	0	7.jpg	1	2	SixItems	6
2	1257	1	Animals	1	uniform	0	11.jpg	1	1	SixItems	6
2	2648	0	Animals	2	mixed	0	23.jpg	2	1	SixItems	6
2	1171	0	Animals	2	mixed	0	19.jpg	2	1	SixItems	6
2	5329	0	Animals	1	uniform	0	16.jpg	1	1	SixItems	6
2	2592	1	Objects	1	uniform	0	3.jpg	1	2	SixItems	6
2	1325	1	Objects	2	mixed	0	19.jpg	2	2	SixItems	6
2	3811	1	Animals	1	uniform	0	1.jpg	1	1	SixItems	6
2	1088	1	Objects	1	uniform	0	11.jpg	1	2	SixItems	6
2	3270	0	Objects	2	mixed	0	13.jpg	2	2	SixItems	6
2	2110	0	Animals	2	mixed	0	17.jpg	2	1	SixItems	6
2	1504	1	Animals	1	uniform	0	22.jpg	1	1	SixItems	6
