sub	RT	correct	category	condition	conditionName	repeatDist	targetItem	categoryNum	phase
1	2663	1	Objects	2	mixed	0	Objects14.jpg	2	ThreeItems
1	1171	1	Food	2	mixed	0	Food3.jpg	1	ThreeItems
1	1431	1	Food	1	uniform	0	Food12.jpg	1	ThreeItems
1	1353	1	Objects	1	uniform	0	Objects17.jpg	2	ThreeItems
1	870	1	Objects	1	uniform	0	Objects6.jpg	2	ThreeItems
1	1138	1	Food	1	uniform	0	Food17.jpg	1	ThreeItems
1	771	1	Food	2	mixed	0	Food13.jpg	1	ThreeItems
1	871	1	Objects	2	mixed	0	Objects15.jpg	2	ThreeItems
1	939	1	Objects	1	uniform	0	Objects4.jpg	2	ThreeItems
1	936	1	Food	2	mixed	0	Food6.jpg	1	ThreeItems
1	1156	1	Food	1	uniform	0	Food8.jpg	1	ThreeItems
1	1053	1	Objects	2	mixed	0	Objects3.jpg	2	SixItems
1	1686	1	Objects	2	mixed	0	Objects16.jpg	2	SixItems
1	1591	1	Food	2	mixed	0	Food5.jpg	1	SixItems
1	2371	1	Objects	1	uniform	0	Objects13.jpg	2	SixItems
1	1004	1	Food	1	uniform	0	Food18.jpg	1	SixItems
1	1335	1	Food	2	mixed	0	Food19.jpg	1	SixItems
1	1202	1	Objects	2	mixed	0	Objects8.jpg	2	SixItems
1	893	1	Objects	1	uniform	0	Objects5.jpg	2	SixItems
1	1920	1	Food	1	uniform	0	Food6.jpg	1	SixItems
1	1264	1	Objects	2	mixed	0	Objects5.jpg	2	SixItems
1	1897	1	Objects	1	uniform	0	Objects11.jpg	2	SixItems
1	1071	1	Food	1	uniform	0	Food19.jpg	1	SixItems
1	1258	1	Food	2	mixed	0	Food18.jpg	1	SixItems
1	4863	0	Food	1	uniform	0	Food9.jpg	1	SixItems
1	1530	1	Food	2	mixed	0	Food20.jpg	1	SixItems
1	2061	1	Objects	2	mixed	0	Objects1.jpg	2	SixItems
1	1608	1	Objects	1	uniform	0	Objects18.jpg	2	SixItems
1	3090	0	Food	2	mixed	0	Food17.jpg	1	SixItems
1	1800	1	Objects	2	mixed	0	Objects2.jpg	2	SixItems
1	1609	1	Food	1	uniform	0	Food13.jpg	1	SixItems
1	2617	1	Objects	1	uniform	0	Objects20.jpg	2	SixItems
1	1633	1	Objects	2	mixed	0	Objects9.jpg	2	SixItems
1	2016	0	Food	1	uniform	0	Food5.jpg	1	SixItems
1	1382	1	Objects	1	uniform	0	Objects8.jpg	2	SixItems
1	2502	1	Food	2	mixed	0	Food14.jpg	1	SixItems
1	2413	1	Food	1	uniform	0	Food11.jpg	1	SixItems
1	2486	1	Objects	2	mixed	0	Objects20.jpg	2	SixItems
1	2569	1	Objects	1	uniform	0	Objects19.jpg	2	SixItems
1	1398	1	Food	2	mixed	0	Food4.jpg	1	SixItems
1	1003	1	Objects	1	uniform	0	Objects14.jpg	2	SixItems
1	2318	1	Food	2	mixed	0	Food12.jpg	1	SixItems
1	2211	1	Food	1	uniform	0	Food7.jpg	1	SixItems
1	1570	1	Objects	2	mixed	0	Objects4.jpg	2	SixItems
1	1843	1	Objects	2	mixed	0	Objects11.jpg	2	SixItems
1	1336	1	Food	2	mixed	0	Food7.jpg	1	SixItems
1	1020	1	Food	1	uniform	0	Food16.jpg	1	SixItems
1	1937	1	Objects	1	uniform	0	Objects9.jpg	2	SixItems
1	1546	1	Objects	2	mixed	0	Objects17.jpg	2	SixItems
1	2138	1	Food	2	mixed	0	Food1.jpg	1	SixItems
1	922	0	Food	1	uniform	0	Food20.jpg	1	SixItems
1	1695	1	Objects	1	uniform	0	Objects12.jpg	2	SixItems
1	3110	1	Objects	2	mixed	0	Objects12.jpg	2	SixItems
1	1053	1	Food	1	uniform	0	Food10.jpg	1	SixItems
1	1960	1	Food	2	mixed	0	Food11.jpg	1	SixItems
1	1121	1	Objects	1	uniform	0	Objects1.jpg	2	SixItems
1	3463	0	Objects	1	uniform	0	Objects15.jpg	2	SixItems
1	914	1	Food	2	mixed	0	Food15.jpg	1	SixItems
1	2973	1	Objects	2	mixed	0	Objects19.jpg	2	SixItems
1	1854	1	Food	1	uniform	0	Food4.jpg	1	SixItems
1	1294	1	Food	2	mixed	0	Food9.jpg	1	SixItems
1	4910	0	Objects	2	mixed	0	Objects18.jpg	2	SixItems
1	1887	1	Food	1	uniform	0	Food15.jpg	1	SixItems
1	2367	1	Objects	1	uniform	0	Objects3.jpg	2	SixItems
1	1180	1	Objects	1	uniform	0	Objects16.jpg	2	SixItems
1	2903	0	Objects	2	mixed	0	Objects10.jpg	2	SixItems
1	3817	0	Food	1	uniform	0	Food1.jpg	1	SixItems
1	6015	1	Food	2	mixed	0	Food16.jpg	1	SixItems
1	1670	1	Food	2	mixed	0	Food8.jpg	1	SixItems
1	2988	1	Objects	2	mixed	0	Objects6.jpg	2	SixItems
1	1252	1	Objects	1	uniform	0	Objects10.jpg	2	SixItems
1	1882	1	Food	1	uniform	0	Food14.jpg	1	SixItems
