sub	RT	condition	conditionName	correct	category	repeatDist	conditionCheck	categoryNum	phase	test
1	4252	1	uniform	1	SmallFam	0	1	2	ThreeItems	3
1	1471	1	uniform	1	BigFam	0	1	1	ThreeItems	3
1	1487	2	mixed	1	SmallFam	0	2	2	ThreeItems	3
1	1855	2	mixed	1	BigFam	0	2	1	ThreeItems	3
1	1786	1	uniform	1	BigFam	0	1	1	ThreeItems	3
1	2171	2	mixed	1	BigFam	0	2	1	ThreeItems	3
1	1381	2	mixed	1	SmallFam	0	2	2	ThreeItems	3
1	1277	1	uniform	1	SmallFam	0	1	2	ThreeItems	3
1	1088	1	uniform	1	BigFam	0	1	1	ThreeItems	3
1	1611	2	mixed	1	BigFam	0	2	1	ThreeItems	3
1	1106	1	uniform	1	SmallFam	0	1	2	ThreeItems	3
1	4522	2	mixed	1	SmallFam	0	2	2	SixItems	6
1	1652	2	mixed	1	SmallFam	0	2	2	SixItems	6
1	2592	1	uniform	1	SmallFam	0	1	2	SixItems	6
1	2343	1	uniform	0	BigFam	0	1	1	SixItems	6
1	2370	2	mixed	1	BigFam	0	2	1	SixItems	6
1	2758	1	uniform	1	SmallFam	0	1	2	SixItems	6
1	1506	2	mixed	1	SmallFam	0	2	2	SixItems	6
1	2246	2	mixed	1	BigFam	0	2	1	SixItems	6
1	1663	1	uniform	1	BigFam	0	1	1	SixItems	6
1	1814	1	uniform	1	BigFam	0	1	1	SixItems	6
1	3140	2	mixed	0	SmallFam	0	2	2	SixItems	6
1	2079	1	uniform	1	SmallFam	0	1	2	SixItems	6
1	5313	2	mixed	0	BigFam	0	2	1	SixItems	6
1	1306	1	uniform	1	BigFam	0	1	1	SixItems	6
1	4897	2	mixed	0	SmallFam	0	2	2	SixItems	6
1	1499	2	mixed	1	BigFam	0	2	1	SixItems	6
1	3094	1	uniform	1	SmallFam	0	1	2	SixItems	6
1	2300	2	mixed	1	BigFam	0	2	1	SixItems	6
1	1450	2	mixed	1	SmallFam	0	2	2	SixItems	6
1	3597	1	uniform	0	BigFam	0	1	1	SixItems	6
1	1443	1	uniform	1	SmallFam	0	1	2	SixItems	6
1	2383	2	mixed	1	BigFam	0	2	1	SixItems	6
1	4022	1	uniform	0	SmallFam	0	1	2	SixItems	6
1	5541	1	uniform	0	BigFam	0	1	1	SixItems	6
2	3542	1	uniform	1	SmallFam	0	1	2	ThreeItems	3
2	2048	2	mixed	1	BigFam	0	2	1	ThreeItems	3
2	1371	1	uniform	1	BigFam	0	1	1	ThreeItems	3
2	2012	2	mixed	1	SmallFam	0	2	2	ThreeItems	3
2	1105	2	mixed	1	SmallFam	0	2	2	ThreeItems	3
2	1022	2	mixed	1	BigFam	0	2	1	ThreeItems	3
2	1154	1	uniform	1	BigFam	0	1	1	ThreeItems	3
2	1181	1	uniform	1	SmallFam	0	1	2	ThreeItems	3
2	1218	2	mixed	1	SmallFam	0	2	2	ThreeItems	3
2	755	1	uniform	1	SmallFam	0	1	2	ThreeItems	3
2	1511	1	uniform	1	BigFam	0	1	1	ThreeItems	3
2	4431	2	mixed	1	BigFam	0	2	1	SixItems	6
2	4571	1	uniform	0	SmallFam	0	1	2	SixItems	6
2	2683	1	uniform	1	BigFam	0	1	1	SixItems	6
2	3984	2	mixed	1	SmallFam	0	2	2	SixItems	6
2	5748	2	mixed	1	BigFam	0	2	1	SixItems	6
2	1815	2	mixed	1	SmallFam	0	2	2	SixItems	6
2	1683	1	uniform	1	SmallFam	0	1	2	SixItems	6
2	3393	1	uniform	1	BigFam	0	1	1	SixItems	6
2	1118	2	mixed	1	BigFam	0	2	1	SixItems	6
2	5282	1	uniform	1	SmallFam	0	1	2	SixItems	6
2	2475	1	uniform	1	BigFam	0	1	1	SixItems	6
2	1348	2	mixed	1	BigFam	0	2	1	SixItems	6
2	4768	2	mixed	0	SmallFam	0	2	2	SixItems	6
2	2317	1	uniform	1	SmallFam	0	1	2	SixItems	6
2	4055	1	uniform	1	BigFam	0	1	1	SixItems	6
2	1648	2	mixed	1	BigFam	0	2	1	SixItems	6
