"sub"	"RT"	"correct"	"category"	"condition"	"conditionName"	"repeatDist"	"targetItem"	"conditionCheck"	"categoryNum"	"phase"	"test"	"conditionNum"	"indivCountC1"	"indivCountC2"	"indivCountC3"	"indivCountC4"
"1"	"1"	1652	1	"SmallFam"	2	"mixed"	0	"SmallFam11.jpg"	2	2	"SixItems"	6	2	3	5	5	3
"2"	"1"	2592	1	"SmallFam"	1	"uniform"	0	"SmallFam10.jpg"	1	2	"SixItems"	6	1	3	5	5	3
"3"	"1"	2370	1	"BigFam"	2	"mixed"	0	"BigFam13.jpg"	2	1	"SixItems"	6	2	3	5	5	3
"4"	"1"	2758	1	"SmallFam"	1	"uniform"	0	"SmallFam5.jpg"	1	2	"SixItems"	6	1	3	5	5	3
"5"	"1"	1506	1	"SmallFam"	2	"mixed"	0	"SmallFam9.jpg"	2	2	"SixItems"	6	2	3	5	5	3
"6"	"1"	2246	1	"BigFam"	2	"mixed"	0	"BigFam3.jpg"	2	1	"SixItems"	6	2	3	5	5	3
"7"	"1"	1663	1	"BigFam"	1	"uniform"	0	"BigFam4.jpg"	1	1	"SixItems"	6	1	3	5	5	3
"8"	"1"	1814	1	"BigFam"	1	"uniform"	0	"BigFam15.jpg"	1	1	"SixItems"	6	1	3	5	5	3
"9"	"1"	2079	1	"SmallFam"	1	"uniform"	0	"SmallFam8.jpg"	1	2	"SixItems"	6	1	3	5	5	3
"10"	"1"	1306	1	"BigFam"	1	"uniform"	0	"BigFam13.jpg"	1	1	"SixItems"	6	1	3	5	5	3
"11"	"1"	1499	1	"BigFam"	2	"mixed"	0	"BigFam17.jpg"	2	1	"SixItems"	6	2	3	5	5	3
"12"	"1"	3094	1	"SmallFam"	1	"uniform"	0	"SmallFam1.jpg"	1	2	"SixItems"	6	1	3	5	5	3
"13"	"1"	2300	1	"BigFam"	2	"mixed"	0	"BigFam18.jpg"	2	1	"SixItems"	6	2	3	5	5	3
"14"	"1"	1450	1	"SmallFam"	2	"mixed"	0	"SmallFam6.jpg"	2	2	"SixItems"	6	2	3	5	5	3
"15"	"1"	1443	1	"SmallFam"	1	"uniform"	0	"SmallFam7.jpg"	1	2	"SixItems"	6	1	3	5	5	3
"16"	"1"	2383	1	"BigFam"	2	"mixed"	0	"BigFam16.jpg"	2	1	"SixItems"	6	2	3	5	5	3
"17"	"2"	2683	1	"BigFam"	1	"uniform"	0	"BigFam8.jpg"	1	1	"SixItems"	6	1	5	4	5	6
"18"	"2"	3984	1	"SmallFam"	2	"mixed"	0	"SmallFam19.jpg"	2	2	"SixItems"	6	2	5	4	5	6
"19"	"2"	1815	1	"SmallFam"	2	"mixed"	0	"SmallFam12.jpg"	2	2	"SixItems"	6	2	5	4	5	6
