"sub"	"RT"	"correct"	"category"	"condition"	"conditionName"	"repeatDist"	"targetItem"	"conditionCheck"	"categoryNum"	"phase"	"test"	"conditionNum"	"indivCountC1"	"indivCountC2"	"indivCountC3"	"indivCountC4"
"1"	"1"	1364	1	"Animals"	2	"mixed"	0	"24.jpg"	2	1	"SixItems"	6	2	15	14	14	12
"2"	"1"	3205	1	"Objects"	1	"uniform"	0	"23.jpg"	1	2	"SixItems"	6	1	15	14	14	12
"3"	"1"	1436	1	"Objects"	2	"mixed"	0	"9.jpg"	2	2	"SixItems"	6	2	15	14	14	12
"4"	"1"	1902	1	"Animals"	1	"uniform"	0	"2.jpg"	1	1	"SixItems"	6	1	15	14	14	12
"5"	"1"	1246	1	"Animals"	1	"uniform"	0	"8.jpg"	1	1	"SixItems"	6	1	15	14	14	12
"6"	"1"	2484	1	"Objects"	1	"uniform"	0	"1.jpg"	1	2	"SixItems"	6	1	15	14	14	12
"7"	"1"	2659	1	"Objects"	2	"mixed"	0	"16.jpg"	2	2	"SixItems"	6	2	15	14	14	12
"8"	"1"	2563	1	"Animals"	2	"mixed"	0	"3.jpg"	2	1	"SixItems"	6	2	15	14	14	12
"9"	"1"	1973	1	"Animals"	1	"uniform"	0	"15.jpg"	1	1	"SixItems"	6	1	15	14	14	12
"10"	"1"	1465	1	"Animals"	2	"mixed"	0	"19.jpg"	2	1	"SixItems"	6	2	15	14	14	12
"11"	"1"	1789	1	"Objects"	2	"mixed"	0	"15.jpg"	2	2	"SixItems"	6	2	15	14	14	12
"12"	"1"	1396	1	"Objects"	1	"uniform"	0	"3.jpg"	1	2	"SixItems"	6	1	15	14	14	12
"13"	"1"	1392	1	"Objects"	1	"uniform"	0	"24.jpg"	1	2	"SixItems"	6	1	15	14	14	12
"14"	"1"	2924	1	"Animals"	1	"uniform"	0	"23.jpg"	1	1	"SixItems"	6	1	15	14	14	12
"15"	"1"	1507	1	"Animals"	2	"mixed"	0	"7.jpg"	2	1	"SixItems"	6	2	15	14	14	12
"16"	"1"	1313	1	"Objects"	1	"uniform"	0	"8.jpg"	1	2	"SixItems"	6	1	15	14	14	12
"17"	"1"	1188	1	"Animals"	2	"mixed"	0	"4.jpg"	2	1	"SixItems"	6	2	15	14	14	12
"18"	"1"	1005	1	"Objects"	2	"mixed"	0	"3.jpg"	2	2	"SixItems"	6	2	15	14	14	12
"19"	"1"	1746	1	"Animals"	1	"uniform"	0	"4.jpg"	1	1	"SixItems"	6	1	15	14	14	12
"20"	"1"	1563	1	"Objects"	1	"uniform"	0	"20.jpg"	1	2	"SixItems"	6	1	15	14	14	12
"21"	"1"	1925	1	"Animals"	2	"mixed"	0	"5.jpg"	2	1	"SixItems"	6	2	15	14	14	12
"22"	"1"	2932	1	"Animals"	1	"uniform"	0	"9.jpg"	1	1	"SixItems"	6	1	15	14	14	12
"23"	"1"	1494	1	"Animals"	1	"uniform"	0	"16.jpg"	1	1	"SixItems"	6	1	15	14	14	12
"24"	"1"	2383	1	"Objects"	1	"uniform"	0	"14.jpg"	1	2	"SixItems"	6	1	15	14	14	12
"25"	"1"	1817	1	"Objects"	2	"mixed"	0	"8.jpg"	2	2	"SixItems"	6	2	15	14	14	12
"26"	"1"	2468	1	"Animals"	2	"mixed"	0	"14.jpg"	2	1	"SixItems"	6	2	15	14	14	12
"27"	"1"	1560	1	"Objects"	2	"mixed"	0	"10.jpg"	2	2	"SixItems"	6	2	15	14	14	12
"28"	"1"	937	1	"Animals"	2	"mixed"	0	"8.jpg"	2	1	"SixItems"	6	2	15	14	14	12
"29"	"1"	3073	1	"Objects"	1	"uniform"	0	"11.jpg"	1	2	"SixItems"	6	1	15	14	14	12
"30"	"1"	2682	1	"Animals"	1	"uniform"	0	"3.jpg"	1	1	"SixItems"	6	1	15	14	14	12
